rule_id,domain,question,condition_json,recommendation_ko,confidence,evidence_refs,last_reviewed
HYP_VOL_001,hypertrophy,낮은 주당 근육군 볼륨,"{""goal"": ""hypertrophy"", ""weekly_hard_sets_per_muscle"": ""<5""}",회복과 수행 추세를 확인한 뒤 주당 유효 세트를 점진적으로 늘릴 후보로 표시한다. 세트 수만으로 부족을 확정하지 않는다.,moderate,01#1;01#6,2026-08-14
HYP_FREQ_002,hypertrophy,빈도의 독립 효과,"{""goal"": ""hypertrophy""}",빈도 자체보다 주당 볼륨 배분과 세션 품질을 우선 평가한다.,high,01#1;01#7,2026-08-14
HYP_FAIL_003,hypertrophy,과도한 실패 훈련,"{""failure_sets_ratio"": "">0.5""}",매 세트 실패를 필수조건으로 보지 않는다. 피로 누적 시 RIR 확보를 검토한다.,high,01#3,2026-08-14
HYP_LOAD_004,hypertrophy,근비대 부하 범위,"{""goal"": ""hypertrophy""}",넓은 부하 범위를 허용하되 노력 수준과 점진적 과부하를 함께 평가한다.,high,01#4;01#5,2026-08-14
STR_SPEC_001,strength,최대근력 특이성,"{""goal"": ""max_strength"", ""heavy_exposure"": ""low""}",주요 리프트의 고강도 특이적 노출이 부족하면 프로그램 적합도를 낮추되 기술과 통증을 먼저 확인한다.,high,02#2;02#6,2026-08-14
STR_FAIL_002,strength,근력과 실패훈련,"{""goal"": ""max_strength"", ""failure_sets_ratio"": "">0.5""}",반복 실패보다 고강도 세트 품질과 회복을 우선한다.,high,02#3,2026-08-14
STR_REST_003,strength,복합운동 휴식,"{""compound_rest_sec"": ""<120"", ""rep_dropoff"": ""high""}",후속 세트 수행이 크게 떨어지면 휴식 증가를 후보로 제시한다.,moderate,02#9,2026-08-14
FAT_RT_001,fat_loss,감량 중 저항운동,"{""goal"": ""fat_loss"", ""resistance_training_sessions_per_week"": 0}",제지방 보존과 근력 유지를 위해 저항운동 도입을 우선 후보로 표시한다.,high,03#1;03#3,2026-08-14
FAT_DEF_002,fat_loss,에너지 적자와 제지방,"{""goal"": ""fat_loss"", ""energy_deficit"": ""large""}",근육 증가 정체를 훈련 실패로 단정하지 않고 에너지 가용성·단백질·회복을 함께 점검한다.,high,03#4;04#2,2026-08-14
FAT_RATE_003,fat_loss,빠른 감량,"{""weekly_weight_loss_pct"": "">1.0""}",제지방·수행 보존 관점에서 감량 속도를 낮출 후보로 경고한다. 개인 조건에 따라 예외가 있다.,moderate,03#6;03#7,2026-08-14
